ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard
546,43,19,28,94303,4,0.3,1,87,0,0,0,0,0
547,27,2,68,94025,3,2.6,3,203,0,1,0,0,0
548,44,14,44,94132,3,2,3,180,0,1,1,1,1
549,49,23,61,94117,1,1.4,3,0,0,0,0,1,1
550,61,36,35,94110,3,1.3,2,0,0,0,0,0,1
551,60,34,54,94301,3,0.3,2,0,0,0,0,1,1
552,59,34,14,93118,1,0.1,1,0,0,0,0,1,1
553,28,3,52,90024,4,2.2,1,230,0,0,0,1,0
554,52,28,101,91330,2,0.3,1,0,0,0,0,0,0
555,28,2,149,94720,2,7.2,1,0,0,0,0,1,0
556,34,8,35,92037,4,0.8,1,137,0,0,1,1,1
557,60,34,21,93105,3,0.3,3,129,0,0,0,1,0
558,39,15,118,95039,2,1.9,1,0,0,0,0,0,1
559,30,5,38,95064,4,2,2,0,0,1,0,0,0
560,49,25,24,95818,4,0.2,1,138,0,0,0,1,0
561,43,18,59,93943,1,3.7,3,0,0,0,0,1,0
562,63,33,41,94234,4,1.67,3,0,0,0,0,1,0
563,28,3,85,94035,1,0.8,2,0,0,0,0,1,1
564,51,27,12,94608,4,1,1,0,0,0,0,1,0
565,33,7,32,94904,1,0.6,3,152,0,0,0,0,0
566,55,29,79,90210,3,0.8,1,0,0,0,0,1,0
567,53,28,175,95060,3,3.6,3,0,1,0,1,1,1
568,34,8,28,95112,3,0.9,1,0,0,0,0,0,0
569,34,9,41,92101,2,0.1,1,161,0,0,0,1,1
570,40,14,70,95136,3,2.1,1,185,0,0,0,0,0
571,49,25,161,94928,3,6.5,2,485,1,1,1,0,0
572,35,9,53,94143,4,2.2,2,0,0,0,0,1,0
573,39,15,128,92333,1,3.4,1,0,0,0,0,0,0
574,55,28,50,95020,3,1,2,0,0,0,0,1,1
575,29,5,80,94709,2,2,2,0,0,0,0,1,1
576,54,30,93,91107,1,2.7,2,0,0,0,0,1,0
577,25,-1,48,92870,3,0.3,3,0,0,0,0,0,1
578,52,28,149,94043,2,6.8,1,0,0,0,0,1,0
579,46,19,49,92124,3,2.5,2,0,0,0,0,1,1
580,57,33,88,93524,1,2.7,2,0,0,0,0,1,0
581,52,22,22,90049,4,0.4,3,0,0,0,0,1,1
582,28,3,55,94521,4,2.2,1,0,0,0,0,1,1
583,44,18,72,95678,1,0.7,3,155,0,0,0,0,0
584,24,-1,38,95045,2,1.7,2,0,0,0,0,1,0
585,40,16,114,91604,1,3.4,1,300,0,0,0,1,0
586,34,4,83,92653,4,4,3,0,0,0,0,1,0
587,39,14,101,94305,2,0.4,1,0,0,0,0,1,1
588,50,24,94,93305,1,4.9,1,272,0,0,0,1,0
589,41,17,40,93117,2,2.5,1,0,0,0,1,1,1
590,31,7,128,92821,1,6,1,0,0,0,0,0,0
591,29,3,39,94612,4,2.1,3,0,0,0,0,1,0
592,30,5,51,92037,1,1,1,0,0,0,0,1,0
593,44,20,79,95051,4,2,3,0,0,1,1,1,1
594,33,7,48,90025,4,2.2,2,0,0,0,0,1,0
595,50,26,85,94143,1,0,1,144,0,0,0,0,0
596,42,18,41,92121,1,1.8,1,94,0,0,0,1,0
597,48,22,152,94022,1,3.5,3,0,1,0,0,1,0
598,24,-2,125,92835,2,7.2,1,0,0,1,0,0,1
599,56,31,11,92374,2,0.2,3,90,0,0,0,0,0
600,28,4,103,94720,2,2.5,1,0,0,0,0,1,1
601,56,30,141,94143,2,0.5,1,0,0,0,0,1,0
602,58,32,38,91320,1,1.4,1,0,0,0,0,1,1
603,29,5,135,95035,2,0.6,1,0,0,0,0,0,0
604,63,38,28,94720,2,0.5,2,89,0,0,0,1,0
605,28,3,70,90245,4,2.2,1,240,0,0,0,0,1
606,57,31,41,91330,1,0.2,1,0,0,0,0,1,1
607,34,8,81,91741,3,0.9,2,208,0,0,0,1,0
608,28,3,170,95014,1,0.1,3,0,1,0,0,0,0
609,27,2,55,91910,4,1.7,2,0,0,0,0,1,0
610,37,11,24,91770,4,1.5,3,0,0,0,0,0,0
611,52,28,81,94132,3,1.8,2,275,0,0,0,0,0
612,49,23,32,94701,4,1.8,1,83,0,0,0,0,0
613,65,40,129,90095,1,1.3,1,0,0,0,0,1,1
614,60,35,108,94904,1,0.9,1,0,0,1,0,0,0
615,37,12,180,90034,1,8.6,1,0,0,0,0,1,1
616,63,37,139,93943,2,6.9,1,0,0,0,0,0,0
617,40,14,33,94025,2,1.4,3,0,0,0,0,1,1
618,46,20,74,94024,4,2.6,3,0,0,0,0,1,0
619,63,37,42,91320,2,0.7,3,115,0,0,0,1,0
620,57,27,73,93106,1,3,3,0,0,0,0,0,0
621,33,8,115,91129,4,2.9,2,0,1,0,0,1,0
622,41,17,114,91125,2,1.8,2,0,0,0,0,1,0
623,41,17,92,93555,2,1.9,1,131,0,0,0,1,0
624,44,19,34,95616,1,0.3,3,78,0,0,0,1,0
625,33,6,54,92821,2,1.67,2,122,0,0,0,1,0
626,52,28,64,95605,2,1,3,211,0,0,0,1,0
627,30,6,42,94305,1,0.2,3,100,0,0,0,0,1
628,45,19,70,92677,3,2.1,1,0,0,0,0,1,0
629,49,24,51,90071,1,1.3,2,0,0,0,0,0,0
630,45,19,71,91711,4,2.9,1,218,0,0,1,1,1
631,32,7,35,96651,3,1.3,1,108,0,0,0,0,1
632,45,18,40,94960,3,1,2,0,0,0,0,1,0
633,57,32,165,94720,4,2.7,3,0,1,0,0,1,0
634,61,31,18,94583,1,1.5,3,0,0,0,0,1,1
635,57,31,32,90034,3,1.4,1,0,0,1,1,1,1
636,60,35,35,90509,3,0.2,1,169,0,0,0,1,0
637,40,16,120,92037,2,6.1,1,196,0,0,0,1,0
638,53,28,31,90245,4,0.1,3,0,0,0,0,1,0
639,42,16,35,92054,3,1.5,1,0,0,0,0,0,0
640,62,36,32,92646,2,0.2,3,0,0,0,0,1,1
641,43,18,85,94960,1,3.7,3,327,0,1,0,1,0
642,35,10,139,95060,2,7.8,1,0,0,0,0,0,0
643,50,24,103,94132,1,0.3,1,0,0,0,0,1,0
644,45,21,152,91902,2,1.4,1,0,0,0,0,1,0
645,52,27,33,92121,2,2,2,0,0,0,0,1,0
646,35,9,84,95120,4,2.2,2,322,0,0,0,0,0
647,58,33,61,90033,4,1.7,1,0,0,0,0,0,0
648,62,38,64,95064,4,2.2,1,123,0,1,1,1,1
649,50,25,34,95621,1,1.3,2,0,0,0,0,1,0
650,25,-1,82,92677,4,2.1,3,0,0,0,0,1,0
651,47,22,122,90037,1,5.1,3,163,1,1,0,0,0
652,28,4,58,92121,3,1.5,1,131,0,0,0,0,0
653,34,9,92,90005,1,2.8,1,0,0,0,0,1,0
654,49,23,78,92691,2,2.4,2,205,0,0,0,0,1
655,54,29,129,93940,4,4.2,3,0,1,0,0,0,0
656,50,25,13,91109,2,0.7,3,0,0,0,0,0,0
657,37,11,81,94539,1,2.8,3,145,0,0,0,0,0
658,38,8,23,95207,1,0.67,3,0,0,0,0,0,0
659,52,26,35,91711,3,0.9,3,0,0,0,0,0,0
660,63,39,79,93009,4,1.7,2,0,0,0,0,1,1
661,39,14,165,92126,2,3.3,1,0,0,0,0,1,0
662,63,38,52,94720,2,2.8,1,0,0,0,0,1,0
663,65,41,185,93561,3,2,2,0,1,0,0,0,0
664,46,20,49,90503,3,2.2,2,0,0,0,0,0,0
665,54,30,64,95126,1,1.8,3,227,0,0,0,0,1
666,54,24,61,92866,4,2,3,0,0,1,0,1,0
667,52,26,112,92120,1,2.4,1,0,0,1,1,1,1
668,63,39,72,93106,3,2,3,190,0,1,0,1,0
669,66,41,18,94010,3,0.5,1,0,0,0,0,0,0
670,56,29,41,94109,4,2.5,2,0,0,0,0,0,0
671,23,-1,61,92374,4,2.6,1,239,0,0,0,1,0
672,65,41,105,92612,1,3,2,282,1,1,1,1,0
673,51,27,23,96651,1,0.2,1,0,0,0,0,1,0
674,34,10,22,95670,1,0.5,3,85,0,0,0,0,0
675,49,23,59,95827,3,2.1,1,0,0,0,0,0,0
676,29,2,33,91711,1,2,2,160,0,0,0,0,0
677,47,23,11,94063,1,0.9,3,103,0,0,0,0,1
678,46,21,204,92780,2,2.8,1,0,0,0,0,1,0
679,52,27,61,92101,4,1.8,3,207,0,0,0,0,0
680,55,31,103,92093,3,1.8,2,364,0,0,0,0,0
681,61,36,51,94706,3,1.5,1,0,0,0,0,0,1
682,34,9,164,94720,1,6,3,0,1,0,0,1,0
683,58,34,12,90504,1,0.1,2,0,0,0,0,0,1
684,40,16,82,91311,1,3.6,2,0,0,0,0,0,0
685,43,17,164,90266,1,2.4,1,449,0,0,0,1,0
686,35,8,48,93107,2,1.67,2,0,0,0,0,1,0
687,24,-1,38,92612,4,0.6,2,0,0,0,0,1,0
688,48,22,65,92120,2,1.5,2,0,0,0,0,1,0
689,44,20,71,94304,4,1.9,1,207,0,0,0,1,0
690,54,30,18,94591,1,0.3,1,0,0,1,1,1,0
691,59,34,52,94115,2,1.6,3,75,0,0,0,1,0
692,45,18,48,90025,3,2.5,2,113,0,0,0,1,1
693,26,2,30,94720,1,1,3,111,0,0,0,0,0
694,40,15,40,92096,2,2.2,3,107,0,0,0,1,0
695,32,7,112,90740,1,3.8,1,81,0,0,0,1,0
696,29,4,115,92717,1,1.9,1,0,0,0,0,0,0
697,51,27,63,92251,2,1,3,82,0,0,0,1,0
698,42,17,85,92648,1,3.7,3,0,0,0,0,1,0
699,64,38,59,92028,1,2.5,3,220,0,0,0,0,0
700,44,20,68,95060,1,0.8,3,91,0,0,0,0,0
701,37,11,84,90089,2,1.8,1,0,0,0,0,1,1
702,44,19,62,93106,3,0.8,3,0,0,0,0,0,1
703,35,9,109,92709,3,4,1,0,1,0,0,0,0
704,41,17,141,94022,2,7.6,1,92,0,0,0,0,0
705,56,32,129,94065,1,7.4,1,0,0,0,0,0,0
706,62,36,30,94720,3,0.7,2,0,0,0,0,1,0
707,58,34,148,95819,1,4.7,1,0,0,0,0,1,0
708,47,20,25,95064,3,0.67,2,0,0,0,0,1,1
709,35,10,21,92182,3,1.3,1,115,0,0,0,0,0
710,29,4,72,95841,4,2.2,1,0,0,0,0,1,0
711,43,17,59,94085,3,0.9,3,87,0,0,0,1,1
712,62,37,83,91754,3,1.8,2,187,0,1,0,0,0
713,41,16,10,94123,2,0.3,2,0,0,0,0,1,0
714,34,9,84,92009,3,0.6,2,0,0,0,0,1,0
715,50,23,98,92068,3,2,2,0,0,0,0,0,0
716,47,23,32,92130,1,1,1,0,0,1,1,1,1
717,29,5,31,96064,4,0.4,2,161,0,0,0,1,1
718,59,34,94,93940,3,0.5,1,0,0,0,0,0,1
719,56,31,21,90024,2,0.2,3,137,0,0,1,1,1
720,61,35,110,92521,3,4.4,1,0,0,1,0,1,0
721,58,32,38,94025,1,2.2,3,0,0,0,0,0,0
722,49,24,39,92717,1,1.4,3,0,0,0,0,1,0
723,45,21,132,91103,3,1.2,2,0,1,0,1,1,1
724,50,24,61,94301,4,2.6,1,0,0,0,0,1,0
725,64,38,92,94086,1,2,1,0,0,0,0,1,0
726,39,15,119,92037,2,6.1,1,0,0,0,0,0,0
727,58,33,53,91030,4,2.1,1,0,0,0,0,1,0
728,62,37,18,92037,3,1.3,2,0,0,0,0,1,0
729,45,20,114,94720,2,4.4,2,0,1,0,0,0,0
730,58,28,90,93106,1,3,3,0,0,0,0,0,1
731,43,18,140,95616,1,7,1,205,0,0,0,1,0
732,28,3,90,90066,2,3.3,1,0,0,0,0,1,1
733,26,1,85,90064,1,1.9,1,0,0,0,0,1,0
734,49,24,80,92009,1,1.2,1,0,0,0,0,1,0
735,66,42,53,92182,2,1.1,1,0,0,0,0,1,1
736,33,7,49,95403,4,2.2,2,0,0,0,0,1,0
737,61,35,152,91016,3,3.3,3,0,1,0,0,1,0
738,64,37,138,94709,2,2.8,2,0,1,0,0,1,0
739,36,10,80,94596,4,2.2,2,0,0,0,0,1,0
740,49,23,82,91902,2,2.4,2,0,0,0,0,0,0
741,52,27,195,90266,1,8.1,1,0,0,0,0,0,0
742,61,37,22,94590,1,1.2,3,0,0,0,0,1,0
743,32,6,81,92626,1,2.5,1,0,0,0,0,1,0
744,61,37,40,94539,4,2.2,1,0,0,1,1,1,1
745,45,20,154,94720,2,2.8,1,0,0,1,0,1,0
746,30,4,49,93955,3,1.1,2,0,0,0,0,0,1
747,62,37,85,95051,4,3.4,2,0,0,0,0,1,0
